48|39
39|84
39|23
95|51
95|76
95|61
14|52
14|49
14|39
14|53
85|19
85|25
85|61
85|35
85|58
74|86
74|55
74|49
74|18
74|83
74|47
45|49
45|76
45|86
45|22
45|35
45|18
45|37
52|58
52|16
52|23
52|12
52|31
52|27
52|46
52|15
49|71
49|44
49|54
49|91
49|58
49|25
49|52
49|84
49|46
86|26
86|95
86|52
86|51
86|48
86|91
86|55
86|22
86|11
86|37
69|18
69|86
69|98
69|34
69|79
69|95
69|22
69|27
69|15
69|65
69|37
66|83
66|65
66|18
66|92
66|48
66|32
66|16
66|47
66|22
66|95
66|37
66|49
15|22
15|83
15|37
15|49
15|65
15|85
15|31
15|95
15|79
15|47
15|74
15|16
15|86
71|16
71|66
71|92
71|84
71|15
71|54
71|25
71|53
71|31
71|98
71|46
71|69
71|74
71|58
79|49
79|34
79|86
79|26
79|18
79|14
79|22
79|91
79|77
79|48
79|37
79|52
79|95
79|35
79|74
76|39
76|84
76|94
76|77
76|12
76|24
76|46
76|69
76|15
76|53
76|23
76|19
76|52
76|11
76|66
76|25
19|94
19|79
19|71
19|92
19|66
19|16
19|53
19|45
19|69
19|31
19|24
19|25
19|12
19|54
19|84
19|58
19|98
11|25
11|27
11|84
11|12
11|24
11|66
11|19
11|51
11|69
11|16
11|53
11|94
11|58
11|44
11|23
11|39
11|35
11|52
92|37
92|91
92|31
92|48
92|76
92|14
92|34
92|55
92|32
92|85
92|86
92|98
92|83
92|49
92|18
92|26
92|95
92|11
92|74
23|16
23|18
23|86
23|74
23|92
23|66
23|79
23|55
23|45
23|47
23|26
23|37
23|15
23|24
23|12
23|98
23|34
23|48
23|65
23|27
37|51
37|61
37|26
37|47
37|49
37|84
37|52
37|34
37|55
37|39
37|14
37|19
37|77
37|35
37|58
37|91
37|83
37|76
37|85
37|11
37|32
55|44
55|19
55|52
55|39
55|84
55|54
55|32
55|47
55|71
55|51
55|83
55|35
55|91
55|85
55|76
55|11
55|58
55|61
55|53
55|49
55|25
55|77
27|48
27|18
27|65
27|34
27|74
27|37
27|47
27|98
27|55
27|83
27|79
27|16
27|86
27|85
27|45
